PORT,STATUS
0,CLOSED
1,CLOSED
2,CLOSED
3,CLOSED
4,CLOSED
5,CLOSED
7,CLOSED
6,CLOSED
8,CLOSED
9,CLOSED
10,CLOSED
12,CLOSED
11,CLOSED
14,CLOSED
13,CLOSED
15,CLOSED
16,CLOSED
17,CLOSED
18,CLOSED
19,CLOSED
